account_number,supplier,amount_due,service_charge,delivery_rate,supply_rate,interval_start,interval_end,kwh_delivered,pdf_file_name
30010320353,Mega Energy of Maine,393.39,21.47,0.077711,0.068400,12/21/2021,1/19/2022,4522,700000396769_bill.pdf
30010320353,Mega Energy of Maine,0,21.47,0.077711,0.068400,5/18/2022,6/10/2022,914,700000447768_bill.pdf
30010320353,,267.71,21.47,0.077711,,10/19/2021,11/16/2021,2989,701001427136_bill.pdf
30010320353,,484.64,21.47,0.077711,,11/17/2021,12/20/2021,5635,701001458379_bill.pdf
30010320353,,386.58,21.47,0.077711,,2/18/2022,3/18/2022,4439,701001542641_bill.pdf
30010320353,,374.04,21.47,0.077711,,3/19/2022,4/20/2022,4286,701001571608_bill.pdf
30010320353,Mega Energy of Maine,308.23,25.67,0.071564,0.068400,8/12/2022,9/13/2022,1904,701001700629_bill.pdf
30010320353,Standard Offer,514.29,25.67,0.069855,0.176310,2/10/2023,3/13/2023,1876,701001868909_bill.pdf
30010320353,,33.27,14.91,,,6/13/2023,6/30/2023,906,702001847715_bill.pdf
30010320353,,33.27,16.63,,,7/1/2023,7/13/2023,1011,702001847715_bill.pdf
30010320353,Mega Energy of Maine,130.31,13.01,0.077713,0.068400,6/11/2022,6/30/2022,669,703001515406_bill.pdf
30010320353,Mega Energy of Maine,130.31,10.11,0.071559,0.068400,7/1/2022,7/13/2022,436,703001515406_bill.pdf
30010320353,,0,21.47,0.077711,,4/21/2022,5/17/2022,1540,704001456921_bill.pdf
30010320353,Mega Energy of Maine,364.04,15.93,0.071567,0.068400,12/14/2022,12/31/2022,1136,704001666540_bill.pdf
30010320353,Mega Energy of Maine,364.04,9.74,0.069854,0.068400,1/1/2023,1/11/2023,1026,704001666540_bill.pdf
30010320353,Town Square Energy,373.5,25.67,0.069855,0.068400,1/12/2023,2/9/2023,2375,704001692285_bill.pdf
30010320353,Standard Offer,310.68,25.67,0.069855,0.176310,3/14/2023,4/11/2023,1092,705001739548_bill.pdf
30010320353,,41.83,39.65,,,8/13/2023,9/13/2023,2014,705001871139_bill.pdf
30010320353,Mega Energy of Maine,276.34,25.67,0.071564,0.068400,7/14/2022,8/11/2022,1688,706001519396_bill.pdf
30010320353,,27.08,25.67,,,5/12/2023,6/12/2023,3152,706001789496_bill.pdf
30010320353,,27.08,25.67,,,10/14/2022,11/10/2022,2643,708001593388_bill.pdf
30010320353,Mega Energy of Maine,385.9,25.67,0.071564,0.068400,11/11/2022,12/13/2022,2430,708001621067_bill.pdf
30010320353,,27.08,25.67,,,4/12/2023,5/11/2023,1715,710001737015_bill.pdf
30010320353,,41.83,39.65,,,7/14/2023,8/11/2023,1729,712001803444_bill.pdf
30010320353,,736.69,21.47,0.077711,,1/20/2022,2/17/2022,3911,713001326276_bill.pdf
30010320353,,144.57,21.47,0.077711,,9/17/2021,10/18/2021,1487,723001108951_bill.pdf
30010320353,,27.08,25.67,,,9/14/2022,10/13/2022,1773,723001414930_bill.pdf
30010320361,,91.35,21.47,0.077711,,12/21/2021,1/19/2022,838,700000396771_bill.pdf
30010320361,Mega Energy of Maine,80.01,21.47,0.077711,0.068400,5/18/2022,6/10/2022,470,700000447767_bill.pdf
30010320361,,77.33,21.47,0.077711,,10/19/2021,11/16/2021,667,701001427137_bill.pdf
30010320361,,99.72,21.47,0.077711,,11/17/2021,12/20/2021,940,701001458380_bill.pdf
30010320361,,84.96,21.47,0.077711,,2/18/2022,3/18/2022,760,701001542642_bill.pdf
30010320361,,84.14,21.47,0.077711,,3/19/2022,4/20/2022,750,701001571609_bill.pdf
30010320361,Mega Energy of Maine,109.04,25.67,0.071564,0.068400,8/12/2022,9/13/2022,555,701001700630_bill.pdf
30010320361,Standard Offer,121.87,25.67,0.069855,0.176310,2/10/2023,3/13/2023,365,701001868910_bill.pdf
30010320361,,33.27,14.91,,,6/13/2023,6/30/2023,287,702001847716_bill.pdf
30010320361,,33.27,16.63,,,7/1/2023,7/13/2023,320,702001847716_bill.pdf
30010320361,Mega Energy of Maine,103.22,13.01,0.077714,0.068400,6/11/2022,6/30/2022,315,703001515407_bill.pdf
30010320361,Mega Energy of Maine,103.22,10.11,0.071561,0.068400,7/1/2022,7/13/2022,205,703001515407_bill.pdf
30010320361,,0,21.47,0.077711,,4/21/2022,5/17/2022,566,704001456922_bill.pdf
30010320361,Town Square Energy,107.3,25.67,0.069855,0.068400,1/12/2023,2/9/2023,550,704001692286_bill.pdf
30010320361,Standard Offer,110.44,25.67,0.069855,0.176310,3/14/2023,4/11/2023,321,705001739549_bill.pdf
30010320361,,41.83,39.65,,,8/12/2023,9/13/2023,643,705001871140_bill.pdf
30010320361,Mega Energy of Maine,91.17,25.67,0.071564,0.068400,7/14/2022,8/11/2022,434,706001519397_bill.pdf
30010320361,,27.08,25.67,,,5/12/2023,6/12/2023,557,706001789497_bill.pdf
30010320361,Mega Energy of Maine,27.67,25.67,0.071564,0.068400,10/14/2022,11/10/2022,4,708001593389_bill.pdf
30010320361,Mega Energy of Maine,100.61,25.67,0.071564,0.068400,11/11/2022,12/13/2022,498,708001621068_bill.pdf
30010320361,Mega Energy of Maine,116.26,15.93,0.071564,0.068400,12/14/2022,12/31/2022,358,710001627703_bill.pdf
30010320361,Mega Energy of Maine,116.26,9.74,0.069839,0.068400,1/1/2023,1/11/2023,249,710001627703_bill.pdf
30010320361,Constellation,52.81,25.67,0.069855,0.117800,4/12/2023,5/11/2023,130,710001737016_bill.pdf
30010320361,,41.83,39.65,,,7/14/2023,8/11/2023,524,712001803445_bill.pdf
30010320361,,178.36,21.47,0.077711,,1/20/2022,2/17/2022,785,713001326277_bill.pdf
30010320361,,68.4,21.47,0.077711,,9/17/2021,10/18/2021,558,723001108952_bill.pdf
30010320361,,27.08,25.67,,,9/14/2022,10/13/2022,549,723001414931_bill.pdf
30010601281,,134.97,21.47,0.077711,,10/19/2021,11/16/2021,1370,705001288313_bill.pdf
30010601281,,0,21.47,0.077711,,4/21/2022,5/17/2022,1185,705001449578_bill.pdf
30010601281,Mega Energy of Maine,429.16,25.67,0.071564,0.068400,8/12/2022,9/13/2022,2723,705001548454_bill.pdf
30010601281,,163.83,21.47,0.077711,,11/17/2021,12/20/2021,1722,707001306915_bill.pdf
30010601281,Mega Energy of Maine,156.04,21.47,0.077711,0.068400,5/18/2022,6/10/2022,1153,708001454335_bill.pdf
30010601281,Mega Energy of Maine,538.28,25.67,0.071564,0.068400,7/14/2022,8/11/2022,3462,708001507415_bill.pdf
30010601281,,164.16,21.47,0.077711,,3/19/2022,4/20/2022,1726,709001400009_bill.pdf
30010601281,Mega Energy of Maine,384.26,13.01,0.077712,0.068400,6/11/2022,6/30/2022,1438,709001470015_bill.pdf
30010601281,Mega Energy of Maine,384.26,10.11,0.071560,0.068400,7/1/2022,7/13/2022,936,709001470015_bill.pdf
30010601281,,161.78,21.47,0.077711,,12/21/2021,1/19/2022,1697,711001313588_bill.pdf
30010601281,,27.08,25.67,,,11/11/2022,12/13/2022,1708,711001599327_bill.pdf
30010601281,Constellation,51.63,25.67,0.069855,0.117800,4/12/2023,5/11/2023,124,711001729954_bill.pdf
30010601281,,150.31,21.47,0.077711,,9/17/2021,10/18/2021,1557,712001228898_bill.pdf
30010601281,,160.31,21.47,0.077711,,2/18/2022,3/18/2022,1679,712001364141_bill.pdf
30010601281,Constellation,128.66,39.65,0.074947,0.117800,8/12/2023,9/13/2023,427,712001829698_bill.pdf
30010601281,,27.08,25.67,,,10/14/2022,11/10/2022,1291,713001559762_bill.pdf
30010601281,Standard Offer,215.36,25.67,0.069855,0.176310,3/14/2023,4/11/2023,725,713001687957_bill.pdf
30010601281,Constellation,213.06,39.65,0.074947,0.117800,7/14/2023,8/11/2023,842,713001792388_bill.pdf
30010601281,Standard Offer,333.01,25.67,0.069855,0.176310,2/10/2023,3/13/2023,1178,714001657661_bill.pdf
30010601281,,27.08,25.67,,,5/12/2023,6/12/2023,1518,714001736821_bill.pdf
30010601281,Town Square Energy,323.62,25.67,0.069855,0.068400,1/12/2023,2/9/2023,2033,715001622442_bill.pdf
30010601281,,33.27,14.91,,,6/13/2023,6/30/2023,1050,716001753953_bill.pdf
30010601281,,33.27,16.63,,,7/1/2023,7/13/2023,1171,716001753953_bill.pdf
30010601281,,190.72,21.47,0.077711,,1/20/2022,2/17/2022,2050,717001304761_bill.pdf
30010601281,,27.08,25.67,,,9/14/2022,10/13/2022,1497,717001509686_bill.pdf
30010601281,Mega Energy of Maine,234.48,15.93,0.071565,0.068400,12/14/2022,12/31/2022,805,720001552359_bill.pdf
30010601281,Mega Energy of Maine,234.48,9.74,0.069852,0.068400,1/1/2023,1/11/2023,607,720001552359_bill.pdf
30010894035,,0,21.47,0.077711,,4/20/2022,5/17/2022,2401,700000437407_bill.pdf
30010894035,,271.06,21.47,0.077711,,11/16/2021,12/17/2021,3030,705001316924_bill.pdf
30010894035,Mega Energy of Maine,631.91,25.67,0.071564,0.068400,8/11/2022,9/12/2022,4096,705001549600_bill.pdf
30010894035,Mega Energy of Maine,541.41,13.66,0.077712,0.068400,6/10/2022,6/30/2022,2168,706001493143_bill.pdf
30010894035,Mega Energy of Maine,541.41,9.33,0.071566,0.068400,7/1/2022,7/12/2022,1239,706001493143_bill.pdf
30010894035,,354.04,21.47,0.077711,,12/18/2021,1/18/2022,4042,707001334009_bill.pdf
30010894035,Mega Energy of Maine,618.03,25.67,0.071564,0.068400,7/13/2022,8/10/2022,4002,707001510798_bill.pdf
30010894035,,269.92,21.47,0.077711,,9/16/2021,10/15/2021,3016,708001248757_bill.pdf
30010894035,,253.12,21.47,0.077711,,3/18/2022,4/19/2022,2811,708001411317_bill.pdf
30010894035,Mega Energy of Maine,299.63,21.47,0.077711,0.068400,5/18/2022,6/9/2022,2015,709001443511_bill.pdf
30010894035,Mega Energy of Maine,93.38,25.67,0.071564,0.068400,10/13/2022,11/9/2022,449,709001582120_bill.pdf
30010894035,Constellation,455.89,16.34,0.069852,0.117800,6/10/2023,6/30/2023,1348,710001787357_bill.pdf
30010894035,Constellation,455.89,14.42,0.074948,0.117800,7/1/2023,7/12/2023,770,710001787357_bill.pdf
30010894035,Constellation,171.57,39.65,0.074947,0.117800,8/15/2023,9/13/2023,638,710001840813_bill.pdf
30010894035,,27.08,25.67,,,9/13/2022,10/12/2022,3330,711001546519_bill.pdf
30010894035,Town Square Energy,520.53,25.67,0.069855,0.068400,1/12/2023,2/9/2023,3383,712001647298_bill.pdf
30010894035,Constellation,131.02,25.67,0.069855,0.117800,5/11/2023,6/9/2023,525,713001739694_bill.pdf
30010894035,,207.53,21.47,0.077711,,2/17/2022,3/17/2022,2255,714001352031_bill.pdf
30010894035,,236.88,21.47,0.077711,,10/16/2021,11/15/2021,2613,716001236766_bill.pdf
30010894035,Standard Offer,590.64,25.67,0.069855,0.176310,3/11/2023,4/11/2023,2170,717001662549_bill.pdf
30010894035,Constellation,262.47,25.67,0.069855,0.117800,4/12/2023,5/10/2023,1189,718001677477_bill.pdf
30010894035,Mega Energy of Maine,614.74,16.26,0.071566,0.068400,12/13/2022,12/31/2022,2427,719001564922_bill.pdf
30010894035,Mega Energy of Maine,614.74,9.41,0.069854,0.068400,1/1/2023,1/11/2023,1572,719001564922_bill.pdf
30010894035,,285.17,21.47,0.077711,,1/19/2022,2/16/2022,3202,720001275946_bill.pdf
30010894035,Mega Energy of Maine,360.65,25.67,0.071564,0.068400,11/10/2022,12/12/2022,2259,720001531864_bill.pdf
30010894035,Standard Offer,466.76,25.67,0.069855,0.176310,2/10/2023,3/10/2023,1693,723001536656_bill.pdf
30010894035,Constellation,375.73,39.65,0.074947,0.117800,7/13/2023,8/14/2023,1642,724001619820_bill.pdf
35012787137,,140.3,21.47,0.077711,,11/13/2021,12/14/2021,1435,701001454834_bill.pdf
35012787137,Mega Energy of Maine,91.03,25.67,0.071564,0.068400,7/13/2022,8/10/2022,433,702001548617_bill.pdf
35012787137,,27.08,25.67,,,9/13/2022,10/12/2022,333,702001608978_bill.pdf
35012787137,Standard Offer,81.36,25.67,0.069855,0.176310,2/10/2023,3/10/2023,209,702001740270_bill.pdf
35012787137,Mega Energy of Maine,97.86,13.66,0.077695,0.068400,6/10/2022,6/30/2022,308,704001503355_bill.pdf
35012787137,Mega Energy of Maine,97.86,9.33,0.071582,0.068400,7/1/2022,7/12/2022,177,704001503355_bill.pdf
35012787137,Mega Energy of Maine,102.26,25.67,0.071564,0.068400,8/11/2022,9/12/2022,509,704001556907_bill.pdf
35012787137,,32.45,16.34,,,6/10/2023,6/30/2023,285,704001827864_bill.pdf
35012787137,,32.45,14.42,,,7/1/2023,7/12/2023,252,704001827864_bill.pdf
35012787137,,124.48,21.47,0.077711,,2/17/2022,3/17/2022,1242,708001384193_bill.pdf
35012787137,,123.98,21.47,0.077711,,1/19/2022,2/16/2022,1236,709001345268_bill.pdf
35012787137,,41.83,39.65,,,7/13/2023,8/10/2023,628,710001815445_bill.pdf
35012787137,,27.08,16.26,,,12/13/2022,12/31/2022,345,711001621299_bill.pdf
35012787137,,27.08,9.41,,,1/1/2023,1/11/2023,199,711001621299_bill.pdf
35012787137,,107.18,21.47,0.077711,,3/18/2022,4/19/2022,1031,713001381041_bill.pdf
35012787137,,41.83,39.65,,,8/11/2023,9/12/2023,647,716001807298_bill.pdf
35012787137,Town Square Energy,73.03,25.67,0.069855,0.068400,1/12/2023,2/9/2023,315,718001597572_bill.pdf
35012787137,,69.3,21.47,0.077711,,9/15/2021,10/14/2021,569,719001180517_bill.pdf
35012787137,,143.9,21.47,0.077711,,12/15/2021,1/18/2022,1479,719001262897_bill.pdf
35012787137,,27.08,25.67,,,5/11/2023,6/9/2023,498,719001697668_bill.pdf
35012787137,,86.52,21.47,0.077711,,10/15/2021,11/12/2021,779,721001177941_bill.pdf
35012787137,Mega Energy of Maine,59.64,21.47,0.077711,0.068400,5/18/2022,6/9/2022,365,721001354223_bill.pdf
35012787137,,0,21.47,0.077711,,4/20/2022,5/17/2022,796,723001289946_bill.pdf
35012787137,Constellation,44.9,25.67,0.069855,0.117800,4/12/2023,5/10/2023,90,723001592630_bill.pdf
35012787137,,27.08,25.67,,,10/13/2022,11/9/2022,351,724001395850_bill.pdf
35012787137,,27.08,25.67,,,11/10/2022,12/12/2022,567,724001422099_bill.pdf
35012787137,Standard Offer,307.55,25.67,0.069855,0.176310,3/11/2023,4/11/2023,1080,724001520245_bill.pdf
35012787756,,88.32,21.47,0.077711,,11/16/2021,12/15/2021,801,701001454835_bill.pdf
35012787756,Mega Energy of Maine,150.52,25.67,0.071564,0.068400,7/14/2022,8/11/2022,836,702001548618_bill.pdf
35012787756,,27.08,25.67,,,9/14/2022,10/13/2022,390,702001608979_bill.pdf
35012787756,Mega Energy of Maine,152.15,25.67,0.071564,0.068400,8/12/2022,9/13/2022,847,704001556908_bill.pdf
35012787756,,33.27,14.91,,,6/13/2023,6/30/2023,239,704001827865_bill.pdf
35012787756,,33.27,16.63,,,7/1/2023,7/13/2023,267,704001827865_bill.pdf
35012787756,,80.7,21.47,0.077711,,2/18/2022,3/18/2022,708,708001384194_bill.pdf
35012787756,,75.04,21.47,0.077711,,1/20/2022,2/17/2022,639,709001345269_bill.pdf
35012787756,,41.83,39.65,,,7/14/2023,8/11/2023,352,710001815446_bill.pdf
35012787756,,0,21.47,0.077711,,4/21/2022,5/17/2022,628,711001417819_bill.pdf
35012787756,,27.08,15.93,,,12/14/2022,12/31/2022,191,711001621300_bill.pdf
35012787756,,27.08,9.74,,,1/1/2023,1/11/2023,116,711001621300_bill.pdf
35012787756,,88.65,21.47,0.077711,,3/19/2022,4/20/2022,805,713001381042_bill.pdf
35012787756,,27.08,25.67,,,2/10/2023,3/13/2023,503,716001650386_bill.pdf
35012787756,,41.83,39.65,,,8/12/2023,9/13/2023,362,716001807299_bill.pdf
35012787756,Mega Energy of Maine,158.69,13.01,0.077705,0.068400,6/11/2022,6/30/2022,536,718001414773_bill.pdf
35012787756,Mega Energy of Maine,158.69,10.11,0.071571,0.068400,7/1/2022,7/13/2022,350,718001414773_bill.pdf
35012787756,,27.08,25.67,,,1/12/2023,2/9/2023,315,718001597573_bill.pdf
35012787756,,88,21.47,0.077711,,9/17/2021,10/15/2021,797,719001180518_bill.pdf
35012787756,,92.18,21.47,0.077711,,12/16/2021,1/19/2022,848,719001262898_bill.pdf
35012787756,,27.08,25.67,,,5/12/2023,6/12/2023,426,719001697669_bill.pdf
35012787756,,87.17,21.47,0.077711,,10/16/2021,11/15/2021,787,721001177942_bill.pdf
35012787756,Mega Energy of Maine,99.38,21.47,0.077711,0.068400,5/18/2022,6/10/2022,592,721001354224_bill.pdf
35012787756,,27.08,25.67,,,4/12/2023,5/11/2023,535,723001592631_bill.pdf
35012787756,,27.08,25.67,,,10/14/2022,11/10/2022,201,724001395851_bill.pdf
35012787756,,27.08,25.67,,,11/11/2022,12/13/2022,357,724001422100_bill.pdf
35012787756,,27.08,25.67,,,3/14/2023,4/11/2023,434,724001520246_bill.pdf
35012790198,,83.89,21.47,0.077711,,11/13/2021,12/14/2021,747,701001454836_bill.pdf
35012790198,Mega Energy of Maine,215.65,25.67,0.071564,0.068400,7/13/2022,8/10/2022,1277,702001548619_bill.pdf
35012790198,Mega Energy of Maine,159.68,25.67,0.071564,0.068400,9/13/2022,10/12/2022,898,702001608980_bill.pdf
35012790198,Mega Energy of Maine,240.09,13.66,0.077710,0.068400,6/10/2022,6/30/2022,904,704001503356_bill.pdf
35012790198,Mega Energy of Maine,240.09,9.33,0.071564,0.068400,7/1/2022,7/12/2022,518,704001503356_bill.pdf
35012790198,Mega Energy of Maine,324.76,25.67,0.071564,0.068400,8/11/2022,9/12/2022,2016,704001556909_bill.pdf
35012790198,Constellation,507.29,16.34,0.069854,0.117800,6/10/2023,6/30/2023,1512,704001827866_bill.pdf
35012790198,Standard Offer,507.29,14.42,0.074948,0.176310,7/1/2023,7/12/2023,863,704001827866_bill.pdf
35012790198,,403.92,25.67,0.069855,,3/11/2023,4/11/2023,1451,707001726482_bill.pdf
35012790198,,80.13,21.47,0.077711,,2/17/2022,3/17/2022,701,708001384195_bill.pdf
35012790198,,80.37,21.47,0.077711,,1/19/2022,2/16/2022,704,709001345270_bill.pdf
35012790198,Constellation,447.71,39.65,0.074947,0.117800,7/13/2023,8/10/2023,1996,710001815447_bill.pdf
35012790198,,0,21.47,0.077711,,4/20/2022,5/17/2022,794,711001417820_bill.pdf
35012790198,Mega Energy of Maine,234.43,16.26,0.071560,0.068400,12/13/2022,12/31/2022,859,711001621301_bill.pdf
35012790198,Mega Energy of Maine,234.43,9.41,0.069855,0.068400,1/1/2023,1/11/2023,552,711001621301_bill.pdf
35012790198,,90.2,21.47,0.077711,,3/18/2022,4/19/2022,824,713001381043_bill.pdf
35012790198,Standard Offer,324.43,25.67,0.069855,0.176310,2/10/2023,3/10/2023,1145,716001650387_bill.pdf
35012790198,Constellation,271.01,39.65,0.074947,0.117800,8/11/2023,9/12/2023,1127,716001807300_bill.pdf
35012790198,Town Square Energy,223.83,25.67,0.069855,0.068400,1/12/2023,2/9/2023,1349,718001597574_bill.pdf
35012790198,,107.18,21.47,0.077711,,9/15/2021,10/14/2021,1031,719001180519_bill.pdf
35012790198,,93.65,21.47,0.077711,,12/15/2021,1/18/2022,866,719001262899_bill.pdf
35012790198,Constellation,293.17,25.67,0.069855,0.117800,5/11/2023,6/9/2023,1344,719001697670_bill.pdf
35012790198,,92.26,21.47,0.077711,,10/15/2021,11/12/2021,849,721001177943_bill.pdf
35012790198,Mega Energy of Maine,142.74,21.47,0.077711,0.068400,5/18/2022,6/9/2022,795,721001354225_bill.pdf
35012790198,Mega Energy of Maine,274.86,25.67,0.071564,0.068400,11/10/2022,12/12/2022,1678,723001467337_bill.pdf
35012790198,Constellation,296.53,25.67,0.069855,0.117800,4/12/2023,5/10/2023,1361,723001592632_bill.pdf
35012790198,Mega Energy of Maine,219.92,25.67,0.071564,0.068400,10/13/2022,11/9/2022,1306,724001395852_bill.pdf